tx_index,buy_date,trader,stock,code,industry,amount_w,buy_price_est,shares_est,remaining,realized_shares,realized_proceeds,first_sell_date,last_sell_date,window,source_quality,return_confidence,source_image,note,realized_exit_price_est,realized_return_pct,open_shares_est,end_close,unrealized_return_pct,blended_return_pct,holding_calendar_days_to_first_sell,status
95,2026-07-23,深南东路,百合花,603823,C26化学原料和化学制品制造业,1622.0,77.44750644311232,209432.17858039253,0.0,209432.17858039253,11589976.762638923,2026-07-29,2026-07-29,单日,verified,中,16.jpg,,55.34,-0.28545149428859906,0.0,70.99,-0.08337913949309095,-0.28545149428859906,6.0,已全部卖出
96,2026-07-23,深南东路,三旺通信,688618,C39计算机、通信和其他电子设备制造业,1393.0,28.69805990499593,485398.66618561844,485398.66618561844,0.0,0.0,,,单日,verified,中,16.jpg,,,,485398.66618561844,28.78,0.0028552485873725164,0.0028552485873725164,,持有至截止日
100,2026-07-23,杭州帮,北方长龙,301357,C41其他制造业,1166.0,80.26603543005807,145266.92314534768,145266.92314534768,0.0,0.0,,,单日,verified,中,16.jpg,,,,145266.92314534768,101.99,0.2706495275809615,0.2706495275809613,,持有至截止日
90,2026-07-23,中山东路,美利云,000815,C22造纸和纸制品业,2964.0,17.155416772734753,1727734.1840570786,1727734.1840570786,0.0,0.0,,,单日,verified,中,16.jpg,,,,1727734.1840570786,18.97,0.10577319404732721,0.10577319404732721,,持有至截止日
97,2026-07-23,温州帮,通源石油,300164,B11开采专业及辅助性活动,2089.0,12.757846902347469,1637423.6311109988,1637423.6311109988,0.0,0.0,,,单日,verified,中,16.jpg,,,,1637423.6311109988,10.7,-0.16130048574017775,-0.16130048574017775,,持有至截止日
89,2026-07-23,中山东路,宏桥控股,002379,C32有色金属冶炼和压延加工业,3884.0,19.805067824485203,1961114.2129986407,1961114.2129986407,0.0,0.0,,,单日,verified,中,16.jpg,,,,1961114.2129986407,19.29,-0.026006870011746175,-0.026006870011746286,,持有至截止日
74,2026-07-23,紫阳东路,红板科技,603459,C39计算机、通信和其他电子设备制造业,12800.0,89.32403037171953,1432985.0485623127,0.0,1432985.0485623127,128715736.75677091,2026-07-27,2026-08-05,单日,verified,中,16.jpg,,89.82350296390672,0.005591693412272614,0.0,97.33,0.08962839669195222,0.005591693412272614,4.0,已全部卖出
75,2026-07-23,紫阳东路,珍宝岛,603567,C27医药制造业,6676.0,6.193350341074049,10779303.014274905,10779303.014274905,0.0,0.0,,,单日,verified,中,16.jpg,,,,10779303.014274905,6.62,0.0688883456336109,0.0688883456336109,,持有至截止日
79,2026-07-23,知春路,盛达资源,000603,B09有色金属矿采选业,11200.0,23.94230503137421,4677912.166486652,4677912.166486652,0.0,0.0,,,单日,verified,中,16.jpg,,,,4677912.166486652,32.09,0.34030536984425597,0.34030536984425597,,持有至截止日
82,2026-07-23,江苏路,北方长龙,301357,C41其他制造业,1711.0,80.26603543005807,213166.1282175728,213166.1282175728,0.0,0.0,,,单日,verified,中,16.jpg,,,,213166.1282175728,101.99,0.2706495275809615,0.2706495275809615,,持有至截止日
83,2026-07-23,江苏路,双杰电气,300444,C38电气机械和器材制造业,1549.0,8.820948594656283,1756046.964085452,1756046.964085452,0.0,0.0,,,单日,verified,中,16.jpg,,,,1756046.964085452,10.67,0.2096204717102501,0.2096204717102499,,持有至截止日
84,2026-07-23,江苏路,长缆科技,002879,C38电气机械和器材制造业,1102.0,16.007344641043577,688433.9812203585,0.0,688433.9812203585,12829598.150236137,2026-08-04,2026-08-04,单日,verified,中,16.jpg,,18.63591644255218,0.1642103584606296,0.0,17.28,0.0795044642003444,0.1642103584606296,12.0,已全部卖出
85,2026-07-23,江苏路,新中港,605162,D44电力、热力生产和供应业,927.0,8.35512013956343,1109499.3064318013,1109499.3064318013,0.0,0.0,,,单日,verified,中,16.jpg,,,,1109499.3064318013,8.66,0.0364901827075943,0.0364901827075943,,持有至截止日
80,2026-07-23,知春路,华电辽能,600396,D44电力、热力生产和供应业,8085.0,15.66023315304068,5162758.383600547,5162758.383600547,0.0,0.0,,,单日,verified,中,16.jpg,,,,5162758.383600547,16.99,0.08491360466757314,0.08491360466757314,,持有至截止日
120,2026-07-27,杭州帮,红板科技,603459,C39计算机、通信和其他电子设备制造业,4361.0,89.82197036427847,485515.95810175384,485515.95810175384,0.0,0.0,,,单日,verified,中,15.jpg,,,,485515.95810175384,97.33,0.08358789731813121,0.08358789731813121,,持有至截止日
121,2026-07-27,山东帮,新风光,688663,C38电气机械和器材制造业,1985.0,53.598549575144624,370345.8425152065,14393.63092336792,355952.21159183857,17560000.0,2026-07-30,2026-07-30,单日,verified,中,15.jpg,,49.33246494373691,-0.07959328499042129,14393.63092336792,57.2,0.06719305752492755,-0.07388837839714635,3.0,部分卖出
129,2026-07-27,温州帮,兴业科技,002674,C19皮革、毛皮、羽毛及其制品和制鞋业,741.0,22.541679323676895,328724.3995267392,328724.3995267392,0.0,0.0,,,单日,verified,中,15.jpg,,,,328724.3995267392,29.62,0.3140103527641047,0.3140103527641047,,持有至截止日
