stock,code,canonical_name,industry,updateDate
盈新发展,000620,盈新发展,K70房地产业,2026-08-10
盖世食品,920826,盖世食品,未分类,
盛达资源,000603,盛达资源,B09有色金属矿采选业,2026-08-10
省广集团,002400,省广集团,L72商务服务业,2026-08-10
矩子科技,300802,矩子科技,C39计算机、通信和其他电子设备制造业,2026-08-10
神剑股份,002361,神剑股份,C26化学原料和化学制品制造业,2026-08-10
福昕软件,688095,福昕软件,I65软件和信息技术服务业,2026-08-10
福赛科技,301529,福赛科技,C36汽车制造业,2026-08-10
科翔股份,300903,科翔股份,C39计算机、通信和其他电子设备制造业,2026-08-10
科蓝软件,300663,科蓝软件,I65软件和信息技术服务业,2026-08-10
秦安股份,603758,秦安股份,C36汽车制造业,2026-08-10
立新能源,001258,立新能源,D44电力、热力生产和供应业,2026-08-10
立方控股,920130,立方控股,未分类,
米奥会展,300795,米奥会展,L72商务服务业,2026-08-10
粤电力A,000539,粤电力Ａ,D44电力、热力生产和供应业,2026-08-10
紫光股份,000938,紫光股份,C39计算机、通信和其他电子设备制造业,2026-08-10
红板科技,603459,红板科技,C39计算机、通信和其他电子设备制造业,2026-08-10
纳百川,301667,纳百川,C36汽车制造业,2026-08-10
经纬辉开,300120,经纬辉开,C39计算机、通信和其他电子设备制造业,2026-08-10
维琪科技,920176,维琪科技,未分类,
网宿科技,300017,网宿科技,I65软件和信息技术服务业,2026-08-10
美利云,000815,美利云,C22造纸和纸制品业,2026-08-10
美诺华,603538,美诺华,C27医药制造业,2026-08-10
羚锐制药,600285,羚锐制药,C27医药制造业,2026-08-10
翔鹭钨业,002842,翔鹭钨业,C32有色金属冶炼和压延加工业,2026-08-10
联创光电,600363,联创光电,C39计算机、通信和其他电子设备制造业,2026-08-10
联创电子,002036,联创电子,C39计算机、通信和其他电子设备制造业,2026-08-10
联泰环保,603797,联泰环保,N77生态保护和环境治理业,2026-08-10
联瑞新材,688300,联瑞新材,C39计算机、通信和其他电子设备制造业,2026-08-10
肯特股份,301591,肯特股份,C29橡胶和塑料制品业,2026-08-10
腾龙股份,603158,腾龙股份,C36汽车制造业,2026-08-10
至纯科技,603690,至纯科技,C35专用设备制造业,2026-08-10
致远互联,688369,致远互联,I65软件和信息技术服务业,2026-08-10
航天工程,603698,航天工程,C35专用设备制造业,2026-08-10
艾艾精工,603580,艾艾精工,C29橡胶和塑料制品业,2026-08-10
节能铁汉,300197,节能铁汉,N77生态保护和环境治理业,2026-08-10
药易购,300937,药易购,F51批发业,2026-08-10
蓝盾光电,300862,蓝盾光电,C40仪器仪表制造业,2026-08-10
蓝色光标,300058,蓝色光标,L72商务服务业,2026-08-10
蜀道装备,300540,蜀道装备,C34通用设备制造业,2026-08-10
行云科技,300209,行云科技,F52零售业,2026-08-10
誉衡药业,002437,誉衡药业,C27医药制造业,2026-08-10
证通电子,002197,证通电子,I65软件和信息技术服务业,2026-08-10
豪尔赛,002963,豪尔赛,E50建筑装饰、装修和其他建筑业,2026-08-10
豫能控股,001896,豫能控股,D44电力、热力生产和供应业,2026-08-10
贤丰控股,002141,贤丰控股,C38电气机械和器材制造业,2026-08-10
贵绳股份,600992,贵绳股份,C33金属制品业,2026-08-10
赣能股份,000899,赣能股份,D44电力、热力生产和供应业,2026-08-10
赤天化,600227,赤天化,C26化学原料和化学制品制造业,2026-08-10
达实智能,002421,达实智能,I65软件和信息技术服务业,2026-08-10
近岸蛋白,688137,近岸蛋白,M73研究和试验发展,2026-08-10
通宇通讯,002792,通宇通讯,C39计算机、通信和其他电子设备制造业,2026-08-10
通富微电,002156,通富微电,C39计算机、通信和其他电子设备制造业,2026-08-10
通源石油,300164,通源石油,B11开采专业及辅助性活动,2026-08-10
通鼎互联,002491,通鼎互联,C38电气机械和器材制造业,2026-08-10
采纳股份,301122,采纳股份,C35专用设备制造业,2026-08-10
金一文化,002721,金一文化,C24文教、工美、体育和娱乐用品制造业,2026-08-10
金字火腿,002515,金字火腿,C13农副食品加工业,2026-08-10
金安国纪,002636,金安国纪,C39计算机、通信和其他电子设备制造业,2026-08-10
金开新能,600821,金开新能,D44电力、热力生产和供应业,2026-08-10
金桥信息,603918,金桥信息,I65软件和信息技术服务业,2026-08-10
金牛化工,600722,金牛化工,C26化学原料和化学制品制造业,2026-08-10
